"key","url","locale","payload_sha256","reviewer_doctor_id","reviewed_at","approved_sha256","status","rule","source"
"doctor:dr-alfredo-del-valle","https://www.myglobalhealth.online/spain/cs/doctors/dr-alfredo-del-valle","cs","6437fcb9e637bc19a7ea6ca0b810a237642308155f5cb69c4c80e021c546de1f","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-alfredo-del-valle-CS.json"
"doctor:dr-eduardo-olivas","https://www.myglobalhealth.online/spain/cs/doctors/dr-eduardo-olivas","cs","b3ebf27a385503ddf4bd13dc971e72823f5b08bbecb4af8f5cd00b88ecc709f3","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eduardo-olivas-CS.json"
"doctor:dr-eszter-szilagyi","https://www.myglobalhealth.online/spain/cs/doctors/dr-eszter-szilagyi","cs","055aca8ddae11c560cc1d5016c7be1bf60a04973a361dc59ef863776f2b628fd","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eszter-szilagyi-CS.json"
"doctor:dr-fabiana-cornejo","https://www.myglobalhealth.online/spain/cs/doctors/dr-fabiana-cornejo","cs","ebfd5eab213450eae695e14cb16d73361e1e7ce9ab3dc3e6d4b5e35ae748a8b4","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-fabiana-cornejo-CS.json"
"doctor:dr-fidel-mesa-prado","https://www.myglobalhealth.online/spain/cs/doctors/dr-fidel-mesa-prado","cs","d8fc3bcd51231cd8798bcef9748842231c076597123176fc0a227863aff14c74","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/doctors-dr-fidel-mesa-prado-CS.json"
"doctor:dr-javier-villarte-betancor","https://www.myglobalhealth.online/spain/cs/doctors/dr-javier-villarte-betancor","cs","3cf71f4b7611433160e4165292f09b8a8e10f966fab5be2868b92a464577717c","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-javier-villarte-betancor-CS.json"
"doctor:dr-leandro-wang","https://www.myglobalhealth.online/spain/cs/doctors/dr-leandro-wang","cs","60c0a63cea8a918af3486d930bb0aad5a54f9c10d58e875c3ee194bc4e8c6e83","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-leandro-wang-CS.json"
"doctor:dr-luz-marina-zuluaga-rios","https://www.myglobalhealth.online/spain/cs/doctors/dr-luz-marina-zuluaga-rios","cs","c94144fec43aa460a6ce6e36da2499aa1202ecd33e17bff73e54e41a46985850","","","","held: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/doctors-dr-luz-marina-zuluaga-rios-CS.json"
"doctor:dr-maria-fernanda-ocampo-mora","https://www.myglobalhealth.online/spain/cs/doctors/dr-maria-fernanda-ocampo-mora","cs","88f0f2a4ea1a27498796b2e1f613818df479bf8b43afce1c44ea625fc2d198f2","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-maria-fernanda-ocampo-mora-CS.json"
"doctor:dr-romulo-brito","https://www.myglobalhealth.online/spain/cs/doctors/dr-romulo-brito","cs","008c6dd32fb326e985bbc9a0329b0fd79eb843e57f70aac4ad3ecb1988549d8b","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-romulo-brito-CS.json"
"doctor:dr-silvina-irale","https://www.myglobalhealth.online/spain/cs/doctors/dr-silvina-irale","cs","80f9044fe3b2d6ebbaea19a1a487de85423b7c7d4f50ac866f8575e390eab13b","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-silvina-irale-CS.json"
"doctor:dr-syed-tahir","https://www.myglobalhealth.online/spain/cs/doctors/dr-syed-tahir","cs","86f9026b680a753bacf4b02d6ea889147ea8f400903ba7f2972e0462e87baca1","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-syed-tahir-CS.json"
"doctor:dr-tomas-ruiz-palacios","https://www.myglobalhealth.online/spain/cs/doctors/dr-tomas-ruiz-palacios","cs","4a76f32ebdf5b8c04a038f6b7969eb7a7126b022887a430ca7f7a81875924b29","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-tomas-ruiz-palacios-CS.json"
"service:consulta-diagnotico-vascular","https://www.myglobalhealth.online/spain/cs/services/consulta-diagnotico-vascular","cs","dcc67be35e1646538cdb8ce1c31ae67f6daa92d5b7835c4780a62649ac1ac1ad","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-diagnotico-vascular-CS.json"
"service:consulta-flebologia-y-linfologia","https://www.myglobalhealth.online/spain/cs/services/consulta-flebologia-y-linfologia","cs","01b97960b46bafc0fd0c4568b8564938aff90d0316adb0156c5d5453a16598f7","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-flebologia-y-linfologia-CS.json"
"service:consulta-medica-online","https://www.myglobalhealth.online/spain/cs/services/consulta-medica-online","cs","40aeda34eaeb7b5249211ebb5f7be457c8780dc049a9757c63086d6ed214dbf8","","","","held: Assigned clinician Luz: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/services-consulta-medica-online-CS.json"
"service:consulta-online-medicina-estetica","https://www.myglobalhealth.online/spain/cs/services/consulta-online-medicina-estetica","cs","e5ee8eee8548ee5bec7b0bdb4168bbd8f4bfdf97569c4d3d9d23aac91d76bc3f","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-online-medicina-estetica-CS.json"
"service:consulta-salud-vascular-circulatoria","https://www.myglobalhealth.online/spain/cs/services/consulta-salud-vascular-circulatoria","cs","1098101d29e4c6850ef003afda7ced1b148a2bb8293e8b40c4fb01178c721046","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-salud-vascular-circulatoria-CS.json"
"service:dermatologia-especialista-online","https://www.myglobalhealth.online/spain/cs/services/dermatologia-especialista-online","cs","0a3335be9a1b66ba2c20a6d3faf5e982f7b81ca2bae4f75cc9747d6f0992daed","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-dermatologia-especialista-online-CS.json"
"doctor:dr-alfredo-del-valle","https://www.myglobalhealth.online/spain/de/doctors/dr-alfredo-del-valle","de","3a3f4f048859965908561e20bd7ec9af5242a82944fdc437974b51d9b1dd5bc1","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-alfredo-del-valle-DE.json"
"doctor:dr-eduardo-olivas","https://www.myglobalhealth.online/spain/de/doctors/dr-eduardo-olivas","de","0cf5640b7cfb0621c9d89c729b9a43612b01827c843ed7d09c50e268d9f1b362","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eduardo-olivas-DE.json"
"doctor:dr-eszter-szilagyi","https://www.myglobalhealth.online/spain/de/doctors/dr-eszter-szilagyi","de","eb26b04fae5a6b476dd464ac914a83ee01128fd3ca2ae85e01a094ab08c54ccc","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eszter-szilagyi-DE.json"
"doctor:dr-fabiana-cornejo","https://www.myglobalhealth.online/spain/de/doctors/dr-fabiana-cornejo","de","4ccedd447a919640e3146129d682633273aee309701f1d21495bfc9816a8dccb","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-fabiana-cornejo-DE.json"
"doctor:dr-fidel-mesa-prado","https://www.myglobalhealth.online/spain/de/doctors/dr-fidel-mesa-prado","de","b7a504215a50309d85232b6ac3d27a89e3b1fdc9eecc0d7fe590f168c51c584a","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/doctors-dr-fidel-mesa-prado-DE.json"
"doctor:dr-javier-villarte-betancor","https://www.myglobalhealth.online/spain/de/doctors/dr-javier-villarte-betancor","de","7f44a2dbaca6bf9f5e656da2c6ee984b193787e8c77206982338c24f1b8244e4","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-javier-villarte-betancor-DE.json"
"doctor:dr-leandro-wang","https://www.myglobalhealth.online/spain/de/doctors/dr-leandro-wang","de","13ceff1ab9c618e2f5c9b9665edcab1273865faa896db758edeb6822c85f32d9","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-leandro-wang-DE.json"
"doctor:dr-luz-marina-zuluaga-rios","https://www.myglobalhealth.online/spain/de/doctors/dr-luz-marina-zuluaga-rios","de","ae81a42c524c85d056bb7e72ba821bf37d05e25ab029902ce23ab5eabafc813c","","","","held: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/doctors-dr-luz-marina-zuluaga-rios-DE.json"
"doctor:dr-maria-fernanda-ocampo-mora","https://www.myglobalhealth.online/spain/de/doctors/dr-maria-fernanda-ocampo-mora","de","6013c2bdbe1e56ff7dbdad07ce01d8659038c0d19772e62ec2aa144097e00859","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-maria-fernanda-ocampo-mora-DE.json"
"doctor:dr-romulo-brito","https://www.myglobalhealth.online/spain/de/doctors/dr-romulo-brito","de","af1ed7ae69bda9c6c6637c146c351ce9ff52a1ae80b6cd2508e2b1fcd7b1cf07","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-romulo-brito-DE.json"
"doctor:dr-silvina-irale","https://www.myglobalhealth.online/spain/de/doctors/dr-silvina-irale","de","069bb02109878e7ef95b8e02a72e8dbd460438cdca8d5f41c875c4fb33466ba6","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-silvina-irale-DE.json"
"doctor:dr-syed-tahir","https://www.myglobalhealth.online/spain/de/doctors/dr-syed-tahir","de","5df12168e2d26f9c8b668f936935965026ff75f99b6cd20ce6b68ba4f3f91ab1","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-syed-tahir-DE.json"
"doctor:dr-tomas-ruiz-palacios","https://www.myglobalhealth.online/spain/de/doctors/dr-tomas-ruiz-palacios","de","b09509d4160b9791c1ecb7656b68eafafce08563a466b2f71b0484acc6b89557","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-tomas-ruiz-palacios-DE.json"
"service:cardiologo-online","https://www.myglobalhealth.online/spain/de/services/cardiologo-online","de","96c85da56f1e6786e87200e036153077e7ed97dbc93e8c1c35abbe39fadb85a5","","","","held: No current open appointment; retain routing and assignments","ledger §43.4–43.5","raw/api/services-cardiologo-online-DE.json"
"service:consulta-diagnotico-vascular","https://www.myglobalhealth.online/spain/de/services/consulta-diagnotico-vascular","de","1f43799643de170802ac31214025cb1e3aa91ccaf0efb10f2f5347ea744e6ec8","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-diagnotico-vascular-DE.json"
"service:consulta-flebologia-y-linfologia","https://www.myglobalhealth.online/spain/de/services/consulta-flebologia-y-linfologia","de","b56dae776af603588440cb9c09880bda14f418d86d6d8ccc0bf60c2d400311ba","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-flebologia-y-linfologia-DE.json"
"service:consulta-medica-online","https://www.myglobalhealth.online/spain/de/services/consulta-medica-online","de","cdff716fc6690442c98412ab9c4b6b248f339aad3ba10a9f3fa8b99f882a7201","","","","held: Assigned clinician Luz: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/services-consulta-medica-online-DE.json"
"service:consulta-online-medicina-estetica","https://www.myglobalhealth.online/spain/de/services/consulta-online-medicina-estetica","de","932de29694f122e79ede2c7da6f38c49e72c46decb45d79a1785baad6bf5eae4","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-online-medicina-estetica-DE.json"
"service:consulta-piel-online","https://www.myglobalhealth.online/spain/de/services/consulta-piel-online","de","c381a6db16ae95e9ae95e41bcdefdf102b697b13cea1a8514810c5f1e630ee8a","","","","held: Assigned clinician Luz: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/services-consulta-piel-online-DE.json"
"service:consulta-salud-vascular-circulatoria","https://www.myglobalhealth.online/spain/de/services/consulta-salud-vascular-circulatoria","de","a8a16ddba76d426394814e50ccfa77384e06e8aa62c57dbf0f592a2dd155ca78","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-consulta-salud-vascular-circulatoria-DE.json"
"service:dermatologia-especialista-online","https://www.myglobalhealth.online/spain/de/services/dermatologia-especialista-online","de","123e22448cf4a80673e979efd0b9ba097a090a3eb01d05bdeb52baa5135f4050","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-dermatologia-especialista-online-DE.json"
"service:justificante-medico-online","https://www.myglobalhealth.online/spain/de/services/justificante-medico-online","de","05c1dc9253dce8f67459805c958099ea1395278919a32736222e9bbf01e5ac0d","","","","held: Assigned clinician Luz: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/services-justificante-medico-online-DE.json"
"service:psiquiatra-online","https://www.myglobalhealth.online/spain/de/services/psiquiatra-online","de","42380c530cfacd5833b41290813a0f7ff40ed898f079c5f5f4699bd26556b14e","","","","pending named clinical review","ledger §43.4–43.5","raw/api/services-psiquiatra-online-DE.json"
"service:segunda-opinion-medica","https://www.myglobalhealth.online/spain/de/services/segunda-opinion-medica","de","4068625ff7cc6a0d08a7dee30c374007ea88ba571b08136d063b34cc1d2f0591","","","","held: Assigned clinician Luz: CGCOM rechecked 2026-09-14: ALTA sin ejercicio, contradicting owner attestation; registry update or documented explanation required","ledger §43.4–43.5","raw/api/services-segunda-opinion-medica-DE.json"
"doctor:dr-alfredo-del-valle","https://www.myglobalhealth.online/spain/en/doctors/dr-alfredo-del-valle","en","c86681ca7b2b62556193fad7920504a8fa630396a73732a393e11604b5166795","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-alfredo-del-valle-EN.json"
"doctor:dr-eduardo-olivas","https://www.myglobalhealth.online/spain/en/doctors/dr-eduardo-olivas","en","63d42ea64d04fca572b76cda69bc153738304b07ac1f347092ef52db030eaddc","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eduardo-olivas-EN.json"
"doctor:dr-eszter-szilagyi","https://www.myglobalhealth.online/spain/en/doctors/dr-eszter-szilagyi","en","ab3118a69e6bde1f28232f835dabf91016fae24450b6856f2e555bd054a48f84","","","","pending named clinical review","ledger §43.4–43.5","raw/api/doctors-dr-eszter-szilagyi-EN.json"
